geo_id,state,total_value
CA,California,316227.2723342939
NY,New York,116153.25744476465
TX,Texas,83882.67435158501
FL,Florida,58302.626801152735
VA,Virginia,51024.0441882805
UT,Utah,50544.00576368876
WA,Washington,45209.57877041306
IL,Illinois,42047.32564841498
MA,Massachusetts,38741.060999039386
GA,Georgia,33820.66714697406
PA,Pennsylvania,32074.527377521616
NC,North Carolina,31516.482708933716
NJ,New Jersey,30124.371277617676
CO,Colorado,30064.36647454371
MD,Maryland,23103.809317963496
MO,Missouri,22755.781460134487
OH,Ohio,22029.72334293948
AZ,Arizona,19635.531700288186
MI,Michigan,19389.51200768492
MN,Minnesota,16803.304995196926
OR,Oregon,16557.28530259366
TN,Tennessee,14757.14121037464
NV,Nevada,13605.048991354466
CT,Connecticut,12296.944284341978
DC,District of Columbia,11366.869836695485
WI,Wisconsin,11000.840537944285
IN,Indiana,9555.87944284342
SC,South Carolina,7295.662343900096
AL,Alabama,6570.59269932757
KY,Kentucky,6266.4615754082615
LA,Louisiana,5585.4980787704135
KS,Kansas,4995.441402497599
OK,Oklahoma,4835.426032660903
ID,Idaho,4142.291546589818
IA,Iowa,4120.35734870317
NH,New Hampshire,4080.353506243996
HI,Hawaii,3825.329010566763
NM,New Mexico,3715.3184438040344
AR,Arkansas,3710.3179634966377
NE,Nebraska,3480.2958693563883
ME,Maine,3450.2929875120076
RI,Rhode Island,3035.2531219980788
DE,Delaware,2620.21325648415
VT,Vermont,2550.206532180596
MS,Mississippi,2295.1820365033623
MT,Montana,1688.1666666666667
WV,West Virginia,1284.1181556195966
ND,North Dakota,749.0878962536023
SD,South Dakota,620.0672430355428
AK,Alaska,617.066762728146
WY,Wyoming,605.0648414985591
not_classified,,2.0009606147934678
