state_code,usage,state,working_age_pop,gdp_millions,aui,gdp_per_worker
DC,1811.0,District of Columbia,496883,186165.0,3.8194718815935618,374665.66576035
UT,8340.0,Utah,2310503,300903.8,3.7826705572861123,130233.02718066152
CA,52617.0,California,25927814,4103123.6,2.126665498802744,158251.81405574724
NY,19274.0,New York,12815913,2297028.0,1.5760184933238062,179232.49010819595
VA,8420.0,Virginia,5620883,764474.8,1.569808047970331,136006.17554217015
WA,7451.0,Washington,5172793,854683.3,1.5094838436735678,165226.65801627864
MA,6373.0,Massachusetts,4691965,780666.2,1.4234039277139832,166383.63670658242
CO,4927.0,Colorado,3958343,553322.5,1.3043920503162054,139786.39546901316
VT,430.0,Vermont,409700,45707.2,1.0998703556170335,111562.60678545276
NV,2184.0,Nevada,2119118,260728.4,1.080031690429606,123036.28207584476
OR,2676.0,Oregon,2751203,331028.6,1.0193010648621166,120321.40121975732
MO,3709.0,Missouri,3939611,451201.4,0.9866031486526072,114529.4294284385
MD,3767.0,Maryland,4009368,542765.8,0.984597447574848,135374.4031478278
IL,6924.0,Illinois,8234916,1137243.6,0.8811237163626064,138100.20648662353
CT,1966.0,Connecticut,2366950,365723.1,0.8704291660918975,154512.38936183698
NH,736.0,New Hampshire,903744,121189.4,0.853436852915324,134097.0451809362
NJ,4937.0,New Jersey,6112451,846587.5,0.8464216079702884,138502.13277783332
HI,685.0,Hawaii,850928,115627.2,0.8436003713400413,135883.647030066
GA,5553.0,Georgia,7302240,882534.5,0.7969123844249343,120858.05177589343
MN,2717.0,Minnesota,3674398,500851.4,0.7748942666348392,136308.42385609832
NC,5169.0,North Carolina,7047991,839122.2,0.7685642805938462,119058.35294057555
RI,527.0,Rhode Island,722897,82492.5,0.7639645348007197,114113.76724484954
ME,610.0,Maine,874202,98606.0,0.7312351247453751,112795.44087064546
DE,444.0,Delaware,644810,103253.3,0.7215895102511056,160129.80567919233
TX,13896.0,Texas,20531428,2709392.9,0.7092668371335306,131963.19807857496
AZ,3189.0,Arizona,4787742,552167.0,0.6980118332309821,115329.31390204401
FL,9633.0,Florida,14540563,1705564.9,0.694255522529669,117297.03313413655
PA,5262.0,Pennsylvania,8265190,1024206.3,0.6671707647604618,123918.05875001059
TN,2376.0,Tennessee,4634205,549708.5,0.5372917845688571,118619.80641771351
NM,663.0,New Mexico,1326681,140542.0,0.5237041605533537,105935.03638026021
KS,919.0,Kansas,1857837,234673.2,0.5183784141223926,126315.27954282319
MT,347.0,Montana,705291,75999.2,0.5155848387225673,107755.80575960844
NE,616.0,Nebraska,1252815,185411.0,0.5152675263175608,147995.51410224175
MI,3148.0,Michigan,6433974,706615.8,0.5127367276389831,109825.71580177352
ID,607.0,Idaho,1264612,128132.1,0.503002794368721,101321.27482579637
OH,3588.0,Ohio,7502858,927740.1,0.5011465126496323,123651.56051200756
WI,1750.0,Wisconsin,3785250,451285.3,0.48448739874237834,119222.05930916056
IN,1831.0,Indiana,4412999,527381.1,0.4348039897157123,119506.28132931823
SC,1379.0,South Carolina,3427308,349965.4,0.4216480893338432,102110.86952208556
AL,1234.0,Alabama,3262439,321237.6,0.3963800287006222,98465.4732241737
WY,135.0,Wyoming,366535,52946.1,0.385973352803329,144450.32534410083
ND,183.0,North Dakota,497728,75399.4,0.3852991243345701,151487.15764433585
IA,744.0,Iowa,2033214,257020.8,0.3834677535905934,126411.09101157084
LA,1037.0,Louisiana,2894382,327782.1,0.37545847593320986,113247.69847242002
OK,887.0,Oklahoma,2594338,265779.1,0.3582911393837469,102445.82625702587
AR,662.0,Arkansas,1948947,188723.1,0.3559565309798594,96833.36694122519
KY,961.0,Kentucky,2905378,293021.0,0.3466248935539725,100854.69085261883
AK,139.0,Alaska,464424,69969.0,0.31364556492275864,150657.5887551031
SD,140.0,South Dakota,566060,75179.5,0.2591818430681677,132811.8927322192
WV,246.0,West Virginia,1099978,107660.1,0.23436357444969086,97874.77567733172
MS,379.0,Mississippi,1858512,157491.0,0.21370409568452114,84740.37294351611
